245.0,93.0,11.0,115.0,33.0,37.0,33.0,17.0
173.0,139.0,31.0,35.0,91.0,199.0,19.0,27.0
25.0,193.0,107.0,11.0,11.0,33.0,75.0,25.0
579.0,51.0,843.0,41.0,261.0,21.0,47.0,11.0
71.0,237.0,29.0,17.0,53.0,95.0,31.0,13.0
133.0,257.0,231.0,17.0,89.0,21.0,41.0,21.0
323.0,127.0,61.0,15.0,103.0,65.0,53.0,23.0
177.0,61.0,323.0,41.0,13.0,39.0,13.0,17.0
21.0,159.0,143.0,395.0,25.0,11.0,11.0,11.0
239.0,33.0,17.0,83.0,21.0,113.0,29.0,21.0
19.0,27.0,441.0,25.0,9.0,59.0,9.0,9.0
179.0,71.0,43.0,51.0,37.0,23.0,15.0,23.0
77.0,31.0,53.0,169.0,19.0,25.0,13.0,11.0
229.0,235.0,107.0,11.0,25.0,23.0,23.0,17.0
11.0,63.0,57.0,231.0,97.0,55.0,21.0,25.0
119.0,15.0,233.0,45.0,37.0,253.0,11.0,19.0
225.0,301.0,81.0,27.0,247.0,17.0,45.0,43.0
37.0,173.0,213.0,13.0,53.0,21.0,19.0,39.0
145.0,111.0,161.0,615.0,27.0,15.0,35.0,13.0
31.0,155.0,45.0,43.0,9.0,85.0,13.0,11.0
257.0,23.0,83.0,105.0,65.0,19.0,11.0,33.0
